,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
0,"87,864",813,"6,714","7,626","2,533","14,823","4,118","1,765","4,878","9,505","16,638","11,135","3,530","3,786",14.40%,38.0
4,"43,651","1,168","2,502","4,209","1,433","6,533","3,101",503,"1,440","3,232","10,681","4,610","2,325","1,914",9.20%,33.0
5,"305,944","2,281","15,031","29,959","9,370","29,946","16,820","6,767","25,055","32,880","80,718","26,547","18,550","12,020",14.90%,48.0
7,"163,650","1,566","7,007","16,218","3,026","18,800","3,833","3,787","6,048","29,894","36,961","14,607","8,453","13,450",10.30%,38.0
8,"174,686","1,742","12,218","23,280","4,629","20,173","9,005","2,903","7,960","16,437","47,349","13,756","10,348","4,886",11.50%,40.0
9,"99,715",466,"4,309","11,244","1,990","12,231","2,926","1,555","6,263","10,913","21,202","11,011","4,695","10,910",10.60%,45.0
10,"50,762",155,"5,110","9,165","1,047","6,707","2,523",515,"1,958","4,719","9,679","3,618","2,744","2,822",9.20%,38.0
11,"102,381","1,008","6,062","8,467","3,677","11,811","6,704","2,183","10,766","14,113","20,882","7,630","5,245","3,833",13.70%,39.0
13,"86,538",899,"4,906","14,531","1,669","9,275","3,988","1,807","3,622","5,862","25,683","7,008","4,108","3,180",12.00%,49.0
17,"65,735",735,"2,474","4,777",293,"7,354","3,564",612,"3,103","4,114","19,324","12,210","2,245","4,930",12.50%,44.0
18,"1,934,880","14,024","126,246","147,423","50,942","241,809","102,798","40,300","192,496","252,808","399,520","203,880","90,730","71,904",15.50%,64.0
19,"71,494",494,"4,189","3,803","1,584","11,315","5,105","1,102","3,477","5,739","13,593","12,232","4,615","4,246",14.70%,17.0
21,"429,496","5,429","29,907","25,295","7,623","52,872","15,897","6,372","22,700","55,722","105,016","51,495","22,662","28,506",14.10%,45.0
22,"135,816","3,873","8,276","13,297","2,925","17,269","4,758","2,064","9,804","13,236","29,677","14,646","5,301","10,690",22.70%,63.0
23,"84,647","1,942","6,224","4,546","1,476","11,734","4,468","1,343","3,194","9,102","19,818","12,404","4,260","4,136",10.20%,41.0
24,"72,053","8,263","5,011","2,781","1,395","7,668","2,479",703,"3,063","6,403","13,826","8,882","3,806","7,773",10.70%,43.0
29,"180,595","1,100","8,492","14,756","4,316","23,542","8,765","5,282","12,270","15,802","47,454","15,579","9,394","13,843",11.10%,44.0
31,"106,239","1,757","6,703","16,526","3,302","13,049","4,501","1,497","5,180","10,882","27,543","7,351","5,335","2,613",7.00%,37.0
33,"836,462","3,366","45,288","80,754","22,451","73,840","46,887","29,816","50,013","156,367","179,168","73,407","44,993","30,112",15.80%,46.0
34,"92,602","4,174","5,341","5,543","1,277","12,071","2,192","2,172","4,783","8,877","25,242","14,564","3,008","3,358",26.30%,52.0
35,"536,149","5,028","40,044","35,400","12,554","56,487","29,618","13,612","45,884","85,756","114,253","48,447","27,617","21,449",12.90%,44.0
36,"79,944",875,"6,215","6,643","1,182","10,098","4,133","1,714","5,416","10,472","15,483","8,559","3,819","5,335",28.10%,44.0
37,"397,209","42,468","21,404","30,628","13,517","43,395","17,011","5,656","18,412","29,367","95,502","35,608","17,697","26,544",16.60%,80.0
38,"59,202","2,545","4,281","2,317","1,478","9,322","1,940",634,"2,386","4,423","16,634","6,257","2,353","4,632",21.00%,36.0
39,"59,958","5,167","4,076","1,629","1,050","6,957","4,157",481,"1,541","3,823","17,210","5,179","2,571","6,117",16.60%,63.0
40,"344,626","59,577","22,244","17,550","11,229","35,869","17,623","3,784","12,200","27,787","66,127","29,643","18,139","22,854",11.50%,84.0
41,"52,823","7,586","1,854","3,293",908,"4,645","1,899",329,985,"3,426","12,814","4,723","2,833","7,528",11.70%,71.0
43,"4,831,360","26,458","279,541","471,726","164,029","509,564","271,060","206,647","300,484","629,848","993,951","540,940","288,947","148,165",14.90%,79.0
44,"58,279","11,076","2,656","7,026","1,201","5,088","2,230",624,"1,429","4,031","11,193","5,686","2,419","3,620",13.70%,63.0
45,"130,101",944,"5,781","6,118","4,279","13,600","2,569","5,394","14,174","27,296","25,880","10,565","8,573","4,928",14.70%,36.0
47,"98,425","14,969","7,205","11,329","2,451","10,402","5,528",456,"2,727","7,054","21,594","7,424","3,974","3,312",8.70%,58.0
48,"182,151","35,300","11,354","8,181","6,314","16,367","5,733","1,326","5,889","16,055","35,537","22,612","7,724","9,759",15.50%,37.0
49,"70,701","5,124","4,780","8,968","2,489","6,035","1,907",570,"3,281","5,108","15,524","10,671","3,441","2,803",17.10%,44.0
51,"1,559,173","8,962","92,825","209,316","54,080","155,444","53,764","32,910","132,057","220,638","298,457","173,061","85,194","42,465",22.70%,56.0
52,"166,681","1,632","11,626","9,779","4,291","20,366","7,862","3,953","12,443","20,224","38,372","15,840","8,913","11,380",11.50%,45.0
53,"981,103","17,598","88,831","84,376","27,643","132,484","55,588","13,108","51,390","100,069","201,398","107,826","55,058","45,734",14.60%,87.0
54,"671,358","6,332","42,028","38,567","17,500","75,557","37,743","12,053","48,509","81,411","148,749","61,914","30,115","70,880",12.80%,54.0
55,"877,027","4,812","63,605","81,649","29,403","115,497","78,016","11,375","42,352","83,229","193,660","82,513","46,122","44,794",14.40%,83.0
56,"1,552,867","13,647","85,725","140,724","43,902","164,890","58,830","36,522","91,145","233,101","329,615","191,470","86,667","76,629",15.30%,61.0
57,"506,320","1,727","16,573","27,967","8,187","50,631","19,160","32,749","46,160","115,217","89,027","58,735","22,801","17,386",16.80%,35.0
58,"292,491","14,603","24,043","29,287","10,317","36,219","23,947","4,828","14,609","27,615","57,727","23,579","13,076","12,641",14.30%,56.0
59,"128,903","4,059","9,683","8,955","2,099","15,230","6,083","1,527","5,732","12,658","32,583","17,127","5,686","7,481",15.10%,53.0
60,"400,912","2,408","20,433","31,396","9,025","41,021","23,276","16,347","25,508","76,032","80,094","41,889","19,458","14,025",12.90%,32.0
61,"214,133","20,268","11,591","17,583","4,716","19,700","6,296","4,963","9,660","24,041","49,254","26,328","11,774","7,959",14.20%,45.0
62,"967,374","4,906","49,912","171,575","17,620","84,976","27,376","46,197","45,740","191,319","179,670","83,740","37,819","26,524",14.20%,43.0
63,"132,081","8,503","8,794","10,467","3,677","12,775","4,062","2,610","5,169","14,561","30,944","19,128","7,674","3,717",16.80%,35.0
64,"72,329","2,009","5,662","3,725","1,192","9,931","2,177","1,955","4,044","5,650","18,804","7,029","4,805","5,346",17.20%,44.0
65,"193,706","3,868","15,723","16,817","5,673","23,444","11,995","3,181","9,051","22,107","43,270","15,583","8,887","14,107",14.00%,44.0
66,"250,066","9,586","22,821","23,628","7,516","28,466","9,806","5,044","15,731","27,215","52,389","27,877","11,517","8,470",12.60%,35.0
67,"215,825","12,922","14,480","26,154","10,863","30,317","13,645","2,559","7,663","15,038","46,256","17,626","10,493","7,809",11.60%,59.0
69,"170,090","33,095","7,356","13,036","4,689","19,712","7,789","1,542","5,116","12,663","34,234","13,611","7,475","9,772",14.80%,78.0
70,"405,614","22,923","24,728","44,002","10,636","45,622","14,894","10,652","29,333","47,766","76,684","38,903","21,831","17,640",11.90%,50.0
71,"97,488","3,625","4,783","4,548","1,953","9,946","4,477","1,497","3,903","11,405","27,145","11,017","4,614","8,575",11.20%,44.0
72,"246,554","5,126","30,032","19,964","10,812","27,919","17,027","7,174","13,290","25,691","43,925","23,307","12,880","9,407",24.00%,45.0
73,"332,194","4,377","21,120","19,275","7,964","40,438","19,809","12,938","31,767","49,420","67,601","29,430","15,127","12,928",14.70%,45.0
74,"172,041","1,754","7,511","16,622","3,846","17,726","3,856","5,997","7,400","34,622","42,322","18,351","8,583","3,451",25.40%,44.0
75,"372,635","5,105","31,056","20,671","10,599","35,040","16,013","13,035","29,016","64,863","71,900","42,319","18,638","14,380",14.60%,52.0
76,"172,340","2,789","10,516","10,621","4,733","19,897","6,664","8,773","19,327","28,441","32,047","14,839","6,998","6,695",9.80%,44.0
77,"308,529","2,383","20,746","17,663","5,062","39,266","13,872","7,691","21,370","41,440","67,977","34,515","17,498","19,046",17.60%,44.0
78,"307,206","5,685","23,255","24,498","8,335","34,519","11,864","10,791","22,518","48,333","60,204","27,682","16,115","13,407",13.10%,45.0
79,"174,576","4,205","12,999","18,257","3,685","19,056","3,835","3,821","9,051","20,089","46,304","18,273","8,015","6,986",12.20%,49.0
80,"69,184","4,525","5,062","2,947","1,798","9,727","3,407","1,228","3,821","6,834","16,677","6,471","3,751","2,936",8.80%,45.0
81,"65,558",868,"5,408","5,538","1,498","8,783","3,242","1,335","2,588","6,082","17,331","6,051","2,864","3,970",12.40%,19.0
82,"139,270","11,026","11,832","14,920","4,208","15,360","8,065","2,013","7,454","13,018","27,261","11,175","7,708","5,230",12.20%,47.0
83,"472,541","1,230","32,647","36,494","13,647","48,596","16,876","13,077","56,905","74,382","108,393","36,241","22,153","11,900",13.20%,46.0
84,"447,101",779,"21,207","48,782","11,190","46,390","19,086","10,139","53,005","49,105","120,701","28,620","17,201","20,896",12.00%,45.0
85,"96,620",981,"7,233","13,357","2,236","10,925","4,135","2,265","6,246","8,268","24,494","7,610","5,112","3,758",10.40%,39.0
86,"87,621",381,"5,680","11,041","2,505","7,577","3,776","2,418","6,573","9,331","23,191","7,576","4,403","3,169",9.00%,43.0
