Unnamed: 0,County_Name,State_Name,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,2019_Median_AQI,2019_Binning
22,Pinal County, Arizona,"178,921","4,666","15,154","15,497","4,765","20,740","10,402","2,422","15,200","18,939","34,377","14,673","8,210","13,876",63,3
522,El Paso County, Texas,"358,492","4,937","25,968","26,345","8,720","42,784","25,746","4,746","15,063","36,909","92,419","35,647","18,803","20,405",53,3
5,Jefferson County, Alabama,"305,647","1,109","12,491","32,620","9,375","31,752","15,393","5,057","23,526","35,677","78,297","29,352","17,315","13,683",53,3
406,Hamilton County, Ohio,"416,586",523,"20,058","47,782","12,432","40,870","26,294","5,539","31,952","53,928","103,024","43,778","16,890","13,516",52,3
9,Montgomery County, Alabama,"104,491",603,"5,160","11,434","2,170","10,229","5,208","1,033","7,195","11,857","23,855","9,679","5,771","10,297",52,3
327,Bernalillo County, New Mexico,"328,045","4,021","22,236","14,016","8,301","32,821","13,603","4,948","18,106","46,344","88,100","34,496","20,037","21,016",51,3
216,Jefferson County, Kentucky,"382,639","1,478","20,133","45,010","9,194","42,304","32,802","5,509","26,899","40,110","93,336","37,266","18,356","10,242",49,2
167,Madison County, Illinois,"130,143","1,070","8,067","15,059","4,088","10,951","10,291","1,936","8,281","15,369","31,415","12,189","5,838","5,589",49,2
330,San Juan County, New Mexico,"46,994","4,254","4,231","2,146",221,"5,531","2,064",466,"1,898","2,537","12,698","5,678","2,147","3,123",49,2
79,Larimer County, Colorado,"191,401","4,536","11,893","18,116","2,840","21,150","5,942","2,117","9,077","29,355","49,744","19,596","8,626","8,409",48,2
21,Pima County, Arizona,"464,801","5,177","29,415","33,611","7,481","52,426","21,275","6,948","28,898","57,052","122,668","53,604","23,688","22,558",47,2
74,Boulder County, Colorado,"181,272","2,023","8,539","18,727","3,343","15,929","5,477","6,835","7,923","35,617","45,027","18,235","7,755","5,842",47,2
78,Jefferson County, Colorado,"321,118","4,768","22,163","23,725","8,439","33,241","14,402","9,197","23,070","52,935","69,861","28,946","16,273","14,098",46,2
303,Washoe County, Nevada,"241,666","1,568","21,825","19,923","7,262","28,829","15,546","3,076","11,856","27,871","47,144","33,575","12,708","10,483",46,2
549,Utah County, Utah,"309,211","2,846","22,514","29,117","7,972","37,069","9,294","6,608","19,483","49,890","78,976","23,868","13,103","8,471",46,2
59,San Luis Obispo County, California,"134,530","3,594","9,182","10,262","3,034","14,748","7,022","1,950","6,608","14,910","29,993","19,031","7,162","7,034",46,2
34,Butte County, California,"95,672","3,159","5,798","7,568","1,400","11,475","4,832","1,986","4,519","9,276","24,984","11,471","4,434","4,770",46,2
419,Stark County, Ohio,"176,840","1,263","10,966","31,519","6,458","21,226","8,962","1,975","9,710","13,225","40,513","16,899","9,990","4,134",46,2
77,El Paso County, Colorado,"340,893","2,764","26,419","17,120","5,131","34,593","14,709","10,347","21,814","52,380","80,812","34,006","21,773","19,025",45,2
52,Placer County, California,"190,621",491,"12,108","10,835","4,096","23,175","9,583","3,642","16,023","25,759","42,730","18,396","9,572","14,211",45,2
416,Montgomery County, Ohio,"250,384",477,"13,361","33,448","4,862","25,308","12,823","3,558","17,651","29,333","64,145","22,901","10,287","12,230",45,2
425,Cleveland County, Oklahoma,"143,135","3,498","7,248","8,314","2,295","15,834","6,310","2,510","7,138","14,933","40,969","14,506","7,401","12,179",45,2
29,Pulaski County, Arkansas,"182,913",845,"10,598","12,653","5,076","21,606","9,602","3,411","12,749","20,972","47,913","16,724","9,164","11,600",45,2
500,Hamilton County, Tennessee,"182,370",293,"10,093","22,614","4,404","17,542","12,927","1,922","18,049","19,062","41,610","20,171","8,448","5,235",45,2
373,Forsyth County, North Carolina,"177,326",525,"12,807","20,755","3,315","23,868","8,665","1,480","12,680","16,735","47,877","15,150","8,644","4,825",45,2
17,Coconino County, Arizona,"68,508","1,122","2,443","3,767",493,"8,056","3,335",791,"1,639","4,960","22,041","13,249","2,277","4,335",45,2
145,Richmond County, Georgia,"83,670",439,"3,757","10,931","1,584","9,312","3,973",816,"2,528","13,368","18,056","13,138","2,355","3,413",45,2
398,Clark County, Ohio,"60,900",591,"3,582","9,821","1,543","7,622","2,959",434,"2,578","4,061","14,746","7,014","2,817","3,132",45,2
199,Scott County, Iowa,"85,653",667,"6,611","13,880","2,644","9,316","4,469",975,"5,318","8,959","18,778","8,221","2,710","3,105",45,2
389,Union County, North Carolina,"119,702","1,160","11,371","13,275","3,589","13,814","6,582","1,420","10,364","15,369","23,082","10,562","6,250","2,864",45,2
193,Vigo County, Indiana,"47,903",802,"2,399","8,985",765,"5,993","1,925",201,"2,301","2,063","14,163","4,403","1,197","2,706",45,2
446,Beaver County, Pennsylvania,"80,086","1,104","6,916","7,741","1,972","8,495","6,663",856,"5,807","6,690","22,296","5,477","3,940","2,129",45,2
7,Madison County, Alabama,"187,518",847,"9,723","20,228","2,069","19,293","6,432","2,883","8,256","37,578","36,515","17,436","8,656","17,602",44,2
233,Harford County, Maryland,"133,372",114,"9,085","9,098","2,439","14,621","6,189","1,604","9,035","18,419","29,101","11,129","6,726","15,812",44,2
547,Davis County, Utah,"172,190","1,616","12,161","18,426","3,914","21,288","7,349","2,366","12,156","20,737","38,983","12,612","8,093","12,489",44,2
232,Frederick County, Maryland,"141,025","1,811","13,955","5,969","2,836","14,167","4,032","2,404","9,613","24,796","31,255","10,850","7,580","11,757",44,2
313,Camden County, New Jersey,"252,039",643,"18,454","18,311","7,820","30,692","15,144","3,669","18,048","28,354","67,484","21,194","10,690","11,536",44,2
456,Delaware County, Pennsylvania,"282,015",829,"16,212","20,114","5,753","29,234","19,093","5,612","22,924","35,312","79,376","26,617","11,104","9,835",44,2
278,Hinds County, Mississippi,"102,825",456,"4,190","7,558","2,061","12,991","6,133","1,775","5,193","8,219","30,463","10,582","5,114","8,090",44,2
184,Lake County, Indiana,"225,008",555,"17,157","29,799","5,415","26,006","17,857","3,384","10,304","20,041","52,080","23,196","11,260","7,954",44,2
516,Cameron County, Texas,"169,450","3,331","14,967","13,352","2,490","19,484","9,108","1,540","6,679","13,946","51,526","16,077","9,388","7,562",44,2
331,Santa Fe County, New Mexico,"71,465",789,"5,809","1,942",815,"7,406","1,740","1,688","3,077","10,569","15,442","10,361","5,159","6,668",44,2
329,Sandoval County, New Mexico,"68,757",752,"4,174","3,490","2,049","8,254","2,325","1,531","5,384","7,661","17,586","6,167","3,767","5,617",44,2
164,McHenry County, Illinois,"167,019","1,262","14,593","26,566","6,516","19,958","9,375","2,768","11,381","16,941","31,651","13,028","8,767","4,213",44,2
80,Mesa County, Colorado,"76,060","4,553","6,962","3,647","1,587","10,566","2,473","1,023","3,474","8,415","19,239","7,952","2,976","3,193",44,2
550,Washington County, Utah,"78,146",930,"9,023","4,273","1,482","9,620","5,072",345,"6,071","9,190","17,190","7,780","4,030","3,140",44,2
471,Washington County, Pennsylvania,"100,644","3,268","8,818","10,860","3,220","12,278","5,199","1,971","6,034","8,587","23,923","8,726","4,780","2,980",44,2
165,McLean County, Illinois,"83,090",940,"2,804","3,868","1,307","8,844","3,569",438,"14,959","7,534","23,236","9,550","3,154","2,887",44,2
451,Centre County, Pennsylvania,"79,550",979,"2,955","5,678","1,040","8,853","2,433","1,184","3,303","8,376","31,501","6,781","3,690","2,777",44,2
546,Cache County, Utah,"62,993","1,682","2,942","10,857",841,"7,550","2,342",394,"2,547","7,628","15,993","5,235","2,840","2,142",44,2
490,Pickens County, South Carolina,"58,814",0,"4,881","8,603","1,434","6,598","2,648",604,"2,349","3,788","17,229","6,159","2,928","1,593",44,2
171,Will County, Illinois,"353,050","1,633","24,482","35,654","12,553","39,957","34,726","5,212","22,533","37,380","79,307","30,295","16,094","13,224",43,2
92,New Castle County, Delaware,"284,789","2,360","18,520","19,662","6,607","28,016","17,125","3,677","34,330","35,600","69,755","25,161","10,871","13,105",43,2
475,Providence County, Rhode Island,"324,969",739,"16,725","37,314","9,060","40,964","14,309","3,686","20,137","33,224","92,563","30,390","13,192","12,666",43,2
8,Mobile County, Alabama,"177,379","2,220","16,365","19,201","5,180","19,790","11,509","1,361","9,083","17,308","40,716","15,804","10,200","8,642",43,2
229,Carroll County, Maryland,"88,039",775,"8,768","4,775","2,509","8,388","3,390","1,141","6,239","11,242","23,488","5,985","4,160","7,179",43,2
