,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
0,"Baldwin County, Alabama","77,263","1,302","6,489","6,134","2,131","9,525","3,557",940,"5,893","9,873","14,753","8,257","3,575","4,834",5.30%,"87,864",813,"6,714","7,626","2,533","14,823","4,118","1,765","4,878","9,505","16,638","11,135","3,530","3,786",9.10%,"96,012","1,295","8,529","8,791","1,543","15,006","3,785","1,715","7,520","7,842","21,683","9,347","3,268","5,688",14.40%,37.0,38.0,43.0
4,"Houston County, Alabama","45,470",790,"2,967","4,237","1,897","6,225","2,838",670,"1,980","3,458","9,843","5,200","2,658","2,707",4.80%,"43,651","1,168","2,502","4,209","1,433","6,533","3,101",503,"1,440","3,232","10,681","4,610","2,325","1,914",9.00%,"43,516",623,"2,264","3,702","2,235","6,459","3,566",464,"1,888","3,219","10,124","4,966","2,045","1,961",9.20%,35.0,33.0,48.0
5,"Jefferson County, Alabama","289,454","1,761","17,682","27,091","8,859","34,024","14,727","8,309","25,021","29,164","67,630","26,357","15,828","13,001",6.90%,"305,944","2,281","15,031","29,959","9,370","29,946","16,820","6,767","25,055","32,880","80,718","26,547","18,550","12,020",10.20%,"305,647","1,109","12,491","32,620","9,375","31,752","15,393","5,057","23,526","35,677","78,297","29,352","17,315","13,683",14.90%,53.0,48.0,59.0
7,"Madison County, Alabama","156,411",569,"9,917","18,415","2,697","15,082","4,612","4,594","7,674","28,194","31,686","12,588","7,637","12,746",7.10%,"163,650","1,566","7,007","16,218","3,026","18,800","3,833","3,787","6,048","29,894","36,961","14,607","8,453","13,450",9.30%,"187,518",847,"9,723","20,228","2,069","19,293","6,432","2,883","8,256","37,578","36,515","17,436","8,656","17,602",10.30%,44.0,38.0,44.0
8,"Mobile County, Alabama","170,552","2,025","10,788","21,036","5,355","22,541","9,296","2,413","8,469","17,946","38,617","17,012","8,326","6,728",5.80%,"174,686","1,742","12,218","23,280","4,629","20,173","9,005","2,903","7,960","16,437","47,349","13,756","10,348","4,886",8.80%,"177,379","2,220","16,365","19,201","5,180","19,790","11,509","1,361","9,083","17,308","40,716","15,804","10,200","8,642",11.50%,43.0,40.0,40.0
9,"Montgomery County, Alabama","99,081",535,"3,959","9,332","2,467","11,904","3,929",833,"5,802","9,252","20,680","10,844","6,779","12,765",6.10%,"99,715",466,"4,309","11,244","1,990","12,231","2,926","1,555","6,263","10,913","21,202","11,011","4,695","10,910",9.90%,"104,491",603,"5,160","11,434","2,170","10,229","5,208","1,033","7,195","11,857","23,855","9,679","5,771","10,297",10.60%,52.0,45.0,50.0
10,"Morgan County, Alabama","53,198",495,"3,745","11,347","1,692","5,495","3,281",783,"2,244","5,808","7,868","6,052","2,530","1,858",6.90%,"50,762",155,"5,110","9,165","1,047","6,707","2,523",515,"1,958","4,719","9,679","3,618","2,744","2,822",7.60%,"53,551",260,"4,239","11,760","1,700","5,907","2,500","1,050","1,978","4,703","10,215","5,252","2,578","1,409",9.20%,41.0,38.0,50.0
11,"Shelby County, Alabama","97,212","1,352","7,570","6,349","3,661","14,025","3,609","3,074","10,130","12,006","18,850","7,566","4,696","4,324",3.50%,"102,381","1,008","6,062","8,467","3,677","11,811","6,704","2,183","10,766","14,113","20,882","7,630","5,245","3,833",12.20%,"110,000",861,"6,843","8,781","4,607","10,612","6,210","2,452","11,909","12,709","24,537","8,983","7,780","3,716",13.70%,42.0,39.0,46.0
13,"Tuscaloosa County, Alabama","85,616","1,946","7,675","9,310","1,941","9,871","3,066","1,688","4,077","7,110","23,788","7,716","4,465","2,963",3.70%,"86,538",899,"4,906","14,531","1,669","9,275","3,988","1,807","3,622","5,862","25,683","7,008","4,108","3,180",14.00%,"96,130","1,988","7,439","12,451","2,860","11,292","3,895","1,921","5,394","5,923","27,581","9,336","2,794","3,256",12.00%,35.0,49.0,55.0
17,"Coconino County, Arizona","59,481","1,057","3,239","3,682",507,"7,699","3,410",618,"1,981","3,626","16,638","9,430","2,844","4,750",7.20%,"65,735",735,"2,474","4,777",293,"7,354","3,564",612,"3,103","4,114","19,324","12,210","2,245","4,930",12.30%,"68,508","1,122","2,443","3,767",493,"8,056","3,335",791,"1,639","4,960","22,041","13,249","2,277","4,335",12.50%,45.0,44.0,46.0
18,"Maricopa County, Arizona","1,673,777","10,374","110,893","135,976","45,665","210,496","88,220","34,315","152,074","203,692","364,334","165,940","76,649","75,149",8.90%,"1,934,880","14,024","126,246","147,423","50,942","241,809","102,798","40,300","192,496","252,808","399,520","203,880","90,730","71,904",14.60%,"2,189,173","11,899","175,833","159,996","54,116","261,644","127,036","37,082","225,224","299,333","450,702","212,200","96,056","78,052",15.50%,65.0,64.0,61.0
19,"Mohave County, Arizona","72,433",814,"5,585","3,855",787,"11,356","4,309","1,335","3,754","3,670","15,279","13,699","2,766","5,224",7.20%,"71,494",494,"4,189","3,803","1,584","11,315","5,105","1,102","3,477","5,739","13,593","12,232","4,615","4,246",12.20%,"76,213",876,"6,761","4,121","1,450","11,646","4,759",982,"3,918","5,972","14,669","13,826","3,495","3,738",14.70%,14.0,17.0,14.0
21,"Pima County, Arizona","412,292","3,711","23,958","29,763","5,998","51,249","13,845","7,694","20,419","50,655","107,016","46,766","24,140","27,078",7.40%,"429,496","5,429","29,907","25,295","7,623","52,872","15,897","6,372","22,700","55,722","105,016","51,495","22,662","28,506",10.00%,"464,801","5,177","29,415","33,611","7,481","52,426","21,275","6,948","28,898","57,052","122,668","53,604","23,688","22,558",14.10%,47.0,45.0,49.0
22,"Pinal County, Arizona","132,869","2,521","12,261","9,604","2,841","19,050","7,142","2,628","8,077","13,423","26,202","10,872","6,350","11,898",8.80%,"135,816","3,873","8,276","13,297","2,925","17,269","4,758","2,064","9,804","13,236","29,677","14,646","5,301","10,690",19.80%,"178,921","4,666","15,154","15,497","4,765","20,740","10,402","2,422","15,200","18,939","34,377","14,673","8,210","13,876",22.70%,63.0,63.0,69.0
23,"Yavapai County, Arizona","79,070","1,986","5,458","3,634","2,189","10,348","2,559","1,359","5,447","8,338","17,351","12,467","3,635","4,299",3.70%,"84,647","1,942","6,224","4,546","1,476","11,734","4,468","1,343","3,194","9,102","19,818","12,404","4,260","4,136",21.80%,"93,799","2,613","9,847","5,168","1,034","11,902","3,319",924,"4,521","8,823","22,592","11,267","7,429","4,360",10.20%,43.0,41.0,42.0
24,"Yuma County, Arizona","68,598","6,069","3,504","2,672","1,943","8,865","2,187","1,116","1,390","6,379","13,237","9,833","3,122","8,281",6.50%,"72,053","8,263","5,011","2,781","1,395","7,668","2,479",703,"3,063","6,403","13,826","8,882","3,806","7,773",11.20%,"74,056","8,665","2,980","4,838","3,745","7,619","4,089",875,"3,353","6,600","12,547","7,757","3,162","7,826",10.70%,45.0,43.0,40.0
