County Name,Label _Grouping,Total,"Total Less than $10,000","Total $10,000 to $14,999","Total 15,000 to $24,999","Total $25,000 to $34,999","Total $35,000 to $49,999","Total $50,000 to $74,999","Total $75,000 to $99,999","Total $100,000 to $149,999","Total $150,000 to $199,999","Total $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,PERCENT ALLOCATED Household income in the past 12 months,PERCENT ALLOCATED Family income in the past 12 months,PERCENT ALLOCATED Nonfamily income in the past 12 months
"Autauga County, Alabama",    Households,"21,559",6.20%,4.60%,12.30%,8.50%,12.70%,17.00%,13.40%,16.40%,4.80%,4.20%,"57,982","75,614",,32.50%,(X),(X)
"Autauga County, Alabama",    Families,"15,103",5.20%,2.60%,8.10%,7.20%,11.90%,17.70%,16.00%,19.40%,6.30%,5.70%,"70,730","88,331",,(X),30.10%,(X)
"Autauga County, Alabama",    Married-couple families,"11,281",2.30%,1.10%,5.00%,7.30%,8.60%,17.80%,17.40%,25.20%,8.30%,7.10%,"87,738",N,,(X),(X),(X)
"Autauga County, Alabama",    Nonfamily households,"6,456",10.30%,9.70%,22.20%,12.30%,13.90%,15.30%,6.50%,8.00%,1.40%,0.40%,"30,041","43,328",,(X),(X),36.10%
"Baldwin County, Alabama",    Households,"84,047",5.20%,4.80%,7.70%,10.00%,14.00%,16.80%,13.70%,15.50%,5.80%,6.60%,"61,756","83,626",,34.60%,(X),(X)
"Baldwin County, Alabama",    Families,"56,092",2.10%,1.90%,4.60%,7.50%,12.50%,17.70%,16.10%,20.20%,8.20%,9.20%,"79,907","101,693",,(X),37.20%,(X)
"Baldwin County, Alabama",    Married-couple families,"46,277",1.00%,0.80%,3.10%,5.90%,11.40%,17.00%,17.90%,22.90%,9.10%,10.90%,"88,867","111,411",,(X),(X),(X)
"Baldwin County, Alabama",    Nonfamily households,"27,955",11.80%,10.50%,14.30%,15.90%,16.50%,15.60%,7.40%,5.60%,1.00%,1.40%,"32,861","45,788",,(X),(X),28.40%
"Barbour County, Alabama",    Households,"9,322",14.60%,7.60%,18.40%,9.40%,12.50%,16.30%,7.30%,9.10%,2.20%,2.60%,"34,990","51,557",,43.90%,(X),(X)
"Barbour County, Alabama",    Families,"6,083",11.10%,5.40%,12.20%,12.00%,12.20%,19.50%,10.20%,10.70%,3.30%,3.30%,"45,836","60,687",,(X),47.40%,(X)
