County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
"Baldwin County, Alabama","87,864",813,"6,714","7,626","2,533","14,823","4,118","1,765","4,878","9,505","16,638","11,135","3,530","3,786",,9.10%
"Calhoun County, Alabama","47,309",409,"2,741","8,366","1,024","6,195","2,197",896,"2,589","3,972","9,834","4,199","2,225","2,662",,8.50%
"Cullman County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,24.30%
"DeKalb County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.40%
"Elmore County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.90%
"Etowah County, Alabama","43,713",481,"3,061","8,850","1,278","4,204","1,940",725,"2,860","2,397","9,611","3,971","2,289","2,046",,14.50%
"Houston County, Alabama","43,651","1,168","2,502","4,209","1,433","6,533","3,101",503,"1,440","3,232","10,681","4,610","2,325","1,914",,9.00%
"Jefferson County, Alabama","305,944","2,281","15,031","29,959","9,370","29,946","16,820","6,767","25,055","32,880","80,718","26,547","18,550","12,020",,10.20%
"Lauderdale County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.40%
"Lee County, Alabama","73,205",427,"3,477","10,398","1,067","9,505","3,017","1,479","5,059","6,573","18,329","7,667","2,982","3,225",,12.20%
"Limestone County, Alabama","38,868",138,"2,713","6,755","1,023","3,080","1,725",439,"1,809","5,865","6,981","3,313","2,712","2,315",,13.20%
"Madison County, Alabama","163,650","1,566","7,007","16,218","3,026","18,800","3,833","3,787","6,048","29,894","36,961","14,607","8,453","13,450",,9.30%
"Marshall County, Alabama","39,334","1,159","4,532","6,806",952,"4,412","2,955",301,"1,786","2,694","6,719","3,031","2,087","1,900",,19.90%
