County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Baldwin County, Alabama","96,012","1,295","8,529","8,791","1,543","15,006","3,785","1,715","7,520","7,842","21,683","9,347","3,268","5,688",,14.40%
"Calhoun County, Alabama","45,641","1,012","2,022","7,044","1,107","6,165","2,740",630,"1,923","3,555","8,881","4,813","2,231","3,518",,10.10%
"Cullman County, Alabama","36,439",399,"4,106","5,282",613,"4,847","2,756",380,"1,738","1,937","9,044","2,642","1,808",887,,8.80%
"DeKalb County, Alabama","32,544",852,"1,639","9,052","1,637","2,214","2,374",458,"1,251","2,701","6,406","1,610","1,814",536,,14.30%
"Elmore County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.40%
"Etowah County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.20%
"Houston County, Alabama","43,516",623,"2,264","3,702","2,235","6,459","3,566",464,"1,888","3,219","10,124","4,966","2,045","1,961",,9.20%
"Jefferson County, Alabama","305,647","1,109","12,491","32,620","9,375","31,752","15,393","5,057","23,526","35,677","78,297","29,352","17,315","13,683",,14.90%
"Lauderdale County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.00%
"Lee County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.60%
"Limestone County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.70%
"Madison County, Alabama","187,518",847,"9,723","20,228","2,069","19,293","6,432","2,883","8,256","37,578","36,515","17,436","8,656","17,602",,10.30%
"Marshall County, Alabama","41,717",848,"3,879","10,534",890,"4,608","1,507",696,"1,211","3,582","7,071","3,448","2,165","1,278",,11.30%
"Mobile County, Alabama","177,379","2,220","16,365","19,201","5,180","19,790","11,509","1,361","9,083","17,308","40,716","15,804","10,200","8,642",,11.50%
"Montgomery County, Alabama","104,491",603,"5,160","11,434","2,170","10,229","5,208","1,033","7,195","11,857","23,855","9,679","5,771","10,297",,10.60%
"Morgan County, Alabama","53,551",260,"4,239","11,760","1,700","5,907","2,500","1,050","1,978","4,703","10,215","5,252","2,578","1,409",,9.20%
"St. Clair County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,15.30%
"Shelby County, Alabama","110,000",861,"6,843","8,781","4,607","10,612","6,210","2,452","11,909","12,709","24,537","8,983","7,780","3,716",,13.70%
"Talladega County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.40%
"Tuscaloosa County, Alabama","96,130","1,988","7,439","12,451","2,860","11,292","3,895","1,921","5,394","5,923","27,581","9,336","2,794","3,256",,12.00%
"Walker County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.40%
"Anchorage Municipality, Alaska","143,024","3,464","7,901","4,394","3,993","17,138","13,105","2,640","7,020","16,907","33,851","13,484","7,505","11,622",,11.70%
"Fairbanks North Star Borough, Alaska","43,756","1,581","3,486",945,654,"2,688","5,575","1,299","2,888","2,656","11,560","3,045","2,124","5,255",,10.60%
"Matanuska-Susitna Borough, Alaska","45,652","1,957","5,430","1,328",721,"4,439","3,948",964,"1,840","3,792","12,041","2,852","3,066","3,274",,12.20%
"Apache County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.30%
"Cochise County, Arizona","44,200","1,612","2,376","2,346",404,"3,823","2,139",727,"2,010","6,733","9,018","3,579","2,100","7,333",,10.10%
"Coconino County, Arizona","68,508","1,122","2,443","3,767",493,"8,056","3,335",791,"1,639","4,960","22,041","13,249","2,277","4,335",,12.50%
"Maricopa County, Arizona","2,189,173","11,899","175,833","159,996","54,116","261,644","127,036","37,082","225,224","299,333","450,702","212,200","96,056","78,052",,15.50%
"Mohave County, Arizona","76,213",876,"6,761","4,121","1,450","11,646","4,759",982,"3,918","5,972","14,669","13,826","3,495","3,738",,14.70%
"Navajo County, Arizona","34,754","1,079","2,523","1,179",136,"4,805","1,831",498,897,"1,807","10,753","4,712","1,609","2,925",,8.60%
"Pima County, Arizona","464,801","5,177","29,415","33,611","7,481","52,426","21,275","6,948","28,898","57,052","122,668","53,604","23,688","22,558",,14.10%
"Pinal County, Arizona","178,921","4,666","15,154","15,497","4,765","20,740","10,402","2,422","15,200","18,939","34,377","14,673","8,210","13,876",,22.70%
"Yavapai County, Arizona","93,799","2,613","9,847","5,168","1,034","11,902","3,319",924,"4,521","8,823","22,592","11,267","7,429","4,360",,10.20%
"Yuma County, Arizona","74,056","8,665","2,980","4,838","3,745","7,619","4,089",875,"3,353","6,600","12,547","7,757","3,162","7,826",,10.70%
"Benton County, Arkansas","135,458","2,759","10,955","17,139","4,934","29,347","8,001","1,046","4,946","12,459","23,494","10,918","7,112","2,348",,8.00%
"Craighead County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.70%
"Faulkner County, Arkansas","61,283","1,193","4,704","4,957","1,095","9,445","2,690","1,338","3,133","5,246","16,034","6,480","2,475","2,493",,7.00%
"Garland County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.70%
"Jefferson County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,16.40%
"Lonoke County, Arkansas","34,654","1,341","3,537","2,060","1,391","4,730","3,192",652,"2,986","2,111","7,473","1,566","1,278","2,337",,11.80%
"Pulaski County, Arkansas","182,913",845,"10,598","12,653","5,076","21,606","9,602","3,411","12,749","20,972","47,913","16,724","9,164","11,600",,11.10%
"Saline County, Arkansas","58,546",918,"5,558","4,771","1,500","8,380","3,505","1,626","2,606","4,637","15,221","2,965","2,195","4,664",,10.40%
"Sebastian County, Arkansas","56,868","1,178","3,128","10,606","1,736","5,281","5,075",298,"1,808","5,611","12,269","5,284","2,171","2,423",,10.10%
"Washington County, Arkansas","113,668","1,087","9,328","13,591","2,014","14,945","5,742","1,292","5,170","12,294","27,164","12,714","4,861","3,466",,7.00%
"White County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.10%
"Alameda County, California","885,937","3,110","45,155","81,227","21,097","80,977","48,140","31,711","53,114","186,506","185,678","74,445","42,548","32,229",,15.80%
"Butte County, California","95,672","3,159","5,798","7,568","1,400","11,475","4,832","1,986","4,519","9,276","24,984","11,471","4,434","4,770",,26.30%
"Contra Costa County, California","576,786","3,602","41,554","35,470","12,594","57,080","35,037","11,832","43,153","97,446","133,223","53,363","28,458","23,974",,12.90%
"El Dorado County, California","90,690","1,699","7,479","7,098","2,401","9,140","4,242","1,570","5,565","10,970","18,634","11,755","4,234","5,903",,28.10%
"Fresno County, California","410,423","36,424","26,807","24,997","11,134","40,405","26,413","4,758","17,298","38,197","107,402","32,028","18,566","25,994",,16.60%
"Humboldt County, California","63,682","3,685","5,638","2,776","1,018","8,354","1,784",567,"2,344","5,565","16,341","8,467","2,721","4,422",,21.00%
"Imperial County, California","60,600","6,252","4,442","1,371","2,031","7,321","4,208",839,"2,145","4,024","12,807","6,893","1,966","6,301",,16.60%
