County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","77,263","1,302","6,489","6,134","2,131","9,525","3,557",940,"5,893","9,873","14,753","8,257","3,575","4,834",,5.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.70%,31.00%,13.30%,36.50%,18.60%,7.30%,27.40%,68.10%,45.50%,35.50%,67.80%,13.40%,14.40%,26.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.90%,0.00%,1.10%,3.80%,6.70%,2.20%,0.00%,2.20%,10.50%,25.40%,17.70%,68.90%,51.60%,46.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.80%,12.40%,3.50%,14.80%,59.00%,73.60%,14.00%,24.10%,39.00%,21.50%,11.00%,15.10%,4.90%,13.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.80%,56.60%,80.40%,8.90%,8.20%,7.80%,11.80%,5.50%,5.00%,3.30%,2.00%,1.30%,20.10%,5.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.70%,0.00%,1.70%,35.90%,7.50%,9.10%,46.80%,0.00%,0.00%,14.30%,1.50%,1.20%,9.00%,9.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","42,768",337,"1,371","7,868",750,"5,706","1,626",779,"2,234","3,776","8,351","3,799","2,440","3,731",,11.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.20%,70.90%,25.70%,12.40%,12.10%,12.40%,7.40%,44.20%,33.50%,31.20%,67.70%,17.60%,23.20%,22.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.40%,0.00%,0.00%,4.40%,0.00%,1.00%,4.60%,9.40%,0.00%,18.50%,14.50%,67.40%,38.80%,16.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.30%,0.00%,2.80%,6.30%,39.70%,77.50%,22.90%,41.30%,56.00%,21.70%,14.60%,15.00%,8.10%,21.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,0.00%,60.80%,11.80%,9.50%,2.40%,20.50%,5.10%,4.30%,12.10%,1.20%,0.00%,15.80%,28.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.80%,29.10%,10.60%,65.20%,38.70%,6.70%,44.60%,0.00%,6.20%,16.50%,1.90%,0.00%,14.20%,11.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
