County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","87,864",813,"6,714","7,626","2,533","14,823","4,118","1,765","4,878","9,505","16,638","11,135","3,530","3,786",,9.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.70%,87.90%,30.30%,31.30%,13.90%,10.20%,13.80%,54.50%,27.20%,39.20%,63.80%,15.80%,38.60%,37.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.20%,0.00%,1.30%,0.00%,4.80%,4.40%,5.70%,0.00%,12.80%,33.00%,19.80%,72.50%,28.30%,37.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,28.10%,4.70%,7.20%,15.30%,52.90%,75.50%,12.20%,31.20%,59.30%,21.60%,15.30%,9.10%,10.70%,14.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.10%,7.40%,58.30%,8.60%,0.00%,4.80%,11.10%,12.20%,0.70%,1.80%,1.10%,0.80%,12.70%,3.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.90%,0.00%,2.90%,44.70%,28.40%,5.10%,57.20%,2.10%,0.00%,4.40%,0.10%,1.90%,9.70%,6.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","47,309",409,"2,741","8,366","1,024","6,195","2,197",896,"2,589","3,972","9,834","4,199","2,225","2,662",,8.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.00%,35.50%,16.40%,15.70%,5.40%,14.90%,0.00%,49.20%,42.90%,26.40%,67.00%,5.20%,10.40%,26.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,0.00%,0.00%,4.10%,0.00%,0.00%,0.70%,0.00%,0.00%,22.80%,19.20%,67.10%,38.30%,19.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.90%,0.00%,9.00%,11.90%,75.60%,68.20%,36.30%,36.90%,50.30%,17.70%,11.70%,18.30%,7.60%,29.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.00%,48.20%,66.30%,8.30%,5.70%,9.30%,15.20%,5.40%,6.80%,3.40%,1.50%,3.20%,19.60%,16.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.70%,16.40%,8.20%,60.10%,13.40%,7.50%,47.80%,8.50%,0.00%,29.70%,0.60%,6.20%,24.20%,8.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
