County Name,Label _Grouping,Total,"Total Less than $10,000","Total $10,000 to $14,999","Total 15,000 to $24,999","Total $25,000 to $34,999","Total $35,000 to $49,999","Total $50,000 to $74,999","Total $75,000 to $99,999","Total $100,000 to $149,999","Total $150,000 to $199,999","Total $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,PERCENT ALLOCATED Household income in the past 12 months,PERCENT ALLOCATED Family income in the past 12 months,PERCENT ALLOCATED Nonfamily income in the past 12 months
,,,,,,,,,,,,,,,,,,
"Autauga County, Alabama","Autauga County, Alabama",,,,,,,,,,,,,,,,,
"Autauga County, Alabama",    Households,"21,559",6.20%,4.60%,12.30%,8.50%,12.70%,17.00%,13.40%,16.40%,4.80%,4.20%,"57,982","75,614",,32.50%,(X),(X)
"Autauga County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Autauga County, Alabama",    Families,"15,103",5.20%,2.60%,8.10%,7.20%,11.90%,17.70%,16.00%,19.40%,6.30%,5.70%,"70,730","88,331",,(X),30.10%,(X)
"Autauga County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Autauga County, Alabama",    Married-couple families,"11,281",2.30%,1.10%,5.00%,7.30%,8.60%,17.80%,17.40%,25.20%,8.30%,7.10%,"87,738",N,,(X),(X),(X)
"Autauga County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Autauga County, Alabama",    Nonfamily households,"6,456",10.30%,9.70%,22.20%,12.30%,13.90%,15.30%,6.50%,8.00%,1.40%,0.40%,"30,041","43,328",,(X),(X),36.10%
"Autauga County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","Baldwin County, Alabama",,,,,,,,,,,,,,,,,
"Baldwin County, Alabama",    Households,"84,047",5.20%,4.80%,7.70%,10.00%,14.00%,16.80%,13.70%,15.50%,5.80%,6.60%,"61,756","83,626",,34.60%,(X),(X)
"Baldwin County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama",    Families,"56,092",2.10%,1.90%,4.60%,7.50%,12.50%,17.70%,16.10%,20.20%,8.20%,9.20%,"79,907","101,693",,(X),37.20%,(X)
"Baldwin County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama",    Married-couple families,"46,277",1.00%,0.80%,3.10%,5.90%,11.40%,17.00%,17.90%,22.90%,9.10%,10.90%,"88,867","111,411",,(X),(X),(X)
"Baldwin County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama",    Nonfamily households,"27,955",11.80%,10.50%,14.30%,15.90%,16.50%,15.60%,7.40%,5.60%,1.00%,1.40%,"32,861","45,788",,(X),(X),28.40%
"Baldwin County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Barbour County, Alabama","Barbour County, Alabama",,,,,,,,,,,,,,,,,
"Barbour County, Alabama",    Households,"9,322",14.60%,7.60%,18.40%,9.40%,12.50%,16.30%,7.30%,9.10%,2.20%,2.60%,"34,990","51,557",,43.90%,(X),(X)
"Barbour County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Barbour County, Alabama",    Families,"6,083",11.10%,5.40%,12.20%,12.00%,12.20%,19.50%,10.20%,10.70%,3.30%,3.30%,"45,836","60,687",,(X),47.40%,(X)
"Barbour County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Barbour County, Alabama",    Married-couple families,"3,613",1.70%,1.10%,11.20%,11.20%,11.80%,24.70%,12.90%,14.80%,5.30%,5.30%,"64,492",N,,(X),(X),(X)
"Barbour County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Barbour County, Alabama",    Nonfamily households,"3,239",23.60%,12.50%,29.50%,7.90%,9.70%,11.10%,1.60%,2.50%,0.10%,1.30%,"18,073","30,876",,(X),(X),36.80%
"Barbour County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Bibb County, Alabama","Bibb County, Alabama",,,,,,,,,,,,,,,,,
"Bibb County, Alabama",    Households,"7,259",11.00%,7.10%,10.50%,9.10%,11.20%,19.40%,15.60%,11.20%,2.80%,2.20%,"51,721","61,655",,35.60%,(X),(X)
"Bibb County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Bibb County, Alabama",    Families,"5,276",9.00%,3.80%,7.00%,9.10%,10.40%,22.70%,18.70%,13.30%,3.30%,2.80%,"62,212","69,170",,(X),35.80%,(X)
"Bibb County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Bibb County, Alabama",    Married-couple families,"3,597",1.30%,0.40%,4.30%,7.20%,10.10%,22.60%,27.20%,18.30%,4.80%,3.80%,"78,180",N,,(X),(X),(X)
"Bibb County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Bibb County, Alabama",    Nonfamily households,"1,983",19.50%,16.20%,19.40%,9.50%,11.30%,10.00%,8.30%,3.70%,1.50%,0.50%,"22,629","39,792",,(X),(X),34.70%
"Bibb County, Alabama",        Estimate,,,,,,,,,,,,,,,,,
"Blount County, Alabama","Blount County, Alabama",,,,,,,,,,,,,,,,,
