County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Autauga County, Alabama","24,580",206,"1,847","2,721",798,"2,624","1,391",270,"1,349","2,411","5,013","2,075","1,233","2,642",,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.00%,39.30%,31.80%,25.90%,5.30%,7.70%,16.80%,56.30%,38.50%,52.50%,74.90%,18.80%,28.20%,49.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.30%,36.90%,0.00%,2.50%,0.00%,0.70%,0.40%,6.70%,0.00%,16.00%,12.80%,71.60%,33.70%,24.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.60%,0.00%,3.60%,11.10%,53.10%,64.60%,20.30%,20.40%,55.20%,22.60%,8.90%,8.00%,14.70%,15.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.70%,23.80%,57.40%,6.50%,9.00%,8.50%,4.20%,16.70%,4.90%,1.00%,0.30%,0.80%,15.60%,5.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.30%,0.00%,7.10%,54.00%,32.60%,18.40%,58.40%,0.00%,1.40%,7.90%,3.20%,0.70%,7.80%,5.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","98,768","1,776","7,922","9,608","2,700","13,434","5,085","1,090","7,504","10,573","19,056","9,793","4,970","5,257",,12.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.80%,19.00%,23.80%,32.10%,15.70%,11.60%,16.90%,50.30%,35.80%,49.40%,75.10%,20.80%,24.20%,41.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,26.90%,1.10%,0.50%,0.00%,4.60%,1.70%,6.40%,9.80%,25.50%,14.40%,62.60%,33.50%,32.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.70%,5.30%,10.10%,12.50%,59.60%,60.60%,18.80%,21.60%,50.40%,18.70%,8.80%,12.20%,13.60%,19.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,40.40%,62.20%,8.30%,9.90%,4.30%,8.30%,19.70%,2.70%,1.80%,0.10%,0.50%,19.00%,4.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.60%,8.30%,2.80%,46.50%,14.80%,18.80%,54.30%,2.00%,1.30%,4.70%,1.50%,4.00%,9.70%,3.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
