,County_Name,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
0,"Baldwin County, Alabama",37.0,38.0,43.0
1,"Barbour County, Alabama",,,
2,"Clay County, Alabama",30.0,32.0,42.0
3,"Colbert County, Alabama",37.0,36.0,47.0
4,"DeKalb County, Alabama",39.0,37.0,43.0
5,"Elmore County, Alabama",39.0,35.0,43.0
6,"Escambia County, Alabama",,,
7,"Etowah County, Alabama",43.0,46.0,54.0
8,"Houston County, Alabama",35.0,33.0,48.0
9,"Jefferson County, Alabama",53.0,48.0,59.0
10,"Lawrence County, Alabama",24.0,27.0,34.0
11,"Limestone County, Alabama",,,
12,"Madison County, Alabama",44.0,38.0,44.0
13,"Marengo County, Alabama",,,
14,"Mobile County, Alabama",43.0,40.0,40.0
15,"Montgomery County, Alabama",52.0,45.0,50.0
16,"Morgan County, Alabama",41.0,38.0,50.0
17,"Pike County, Alabama",,,
18,"Russell County, Alabama",40.0,47.0,47.0
19,"Shelby County, Alabama",42.0,39.0,46.0
20,"Sumter County, Alabama",33.0,40.0,39.0
21,"Talladega County, Alabama",,40.0,48.0
22,"Tuscaloosa County, Alabama",35.0,49.0,55.0
23,"Walker County, Alabama",,,45.0
24,"Aleutians East  County, Alaska",10.0,10.0,8.0
25,"Anchorage  County, Alaska",27.0,28.0,32.0
26,"Denali  County, Alaska",36.0,34.0,33.0
27,"Fairbanks North Star  County, Alaska",38.0,54.0,36.0
28,"Juneau  County, Alaska",20.0,21.0,26.0
29,"Kenai Peninsula  County, Alaska",8.0,5.0,5.0
30,"Matanuska-Susitna  County, Alaska",19.0,29.0,13.0
31,"Apache County, Arizona",10.0,11.0,14.0
32,"Cochise County, Arizona",45.0,44.0,45.0
33,"Coconino County, Arizona",45.0,44.0,46.0
34,"Gila County, Arizona",48.0,43.0,44.0
35,"Graham County, Arizona",,,
36,"Maricopa County, Arizona",65.0,64.0,61.0
37,"Mohave County, Arizona",14.0,17.0,14.0
38,"Navajo County, Arizona",44.0,39.0,44.0
39,"Pima County, Arizona",47.0,45.0,49.0
40,"Pinal County, Arizona",63.0,63.0,69.0
41,"Santa Cruz County, Arizona",31.0,30.0,42.0
42,"Yavapai County, Arizona",43.0,41.0,42.0
43,"Yuma County, Arizona",45.0,43.0,40.0
44,"Arkansas County, Arkansas",30.0,34.0,48.0
45,"Ashley County, Arkansas",33.0,31.0,45.0
46,"Clark County, Arkansas",32.0,33.0,35.0
47,"Craighead County, Arkansas",30.0,,
48,"Crittenden County, Arkansas",40.0,36.0,42.0
49,"Faulkner County, Arkansas",,,45.0
50,"Garland County, Arkansas",38.0,34.0,45.0
51,"Jefferson County, Arkansas",,,
52,"Marion County, Arkansas",,,
53,"Miller County, Arkansas",,,
54,"Mississippi County, Arkansas",,,
55,"Montgomery County, Arkansas",,,
56,"Newton County, Arkansas",36.0,35.0,39.0
57,"Phillips County, Arkansas",,,46.0
58,"Polk County, Arkansas",39.0,38.0,43.0
59,"Pope County, Arkansas",,,44.0
60,"Pulaski County, Arkansas",45.0,44.0,55.0
61,"Sebastian County, Arkansas",,,46.0
62,"Union County, Arkansas",35.0,33.0,47.0
63,"Washington County, Arkansas",43.0,37.0,40.0
64,"White County, Arkansas",,,48.0
65,"Alameda County, California",41.0,46.0,43.0
66,"Amador County, California",39.0,41.0,35.0
67,"Butte County, California",46.0,52.0,47.0
68,"Calaveras County, California",42.0,45.0,41.0
69,"Colusa County, California",39.0,46.0,38.0
70,"Contra Costa County, California",40.0,44.0,39.0
71,"Del Norte County, California",20.0,15.0,12.0
72,"El Dorado County, California",43.0,44.0,42.0
73,"Fresno County, California",60.0,80.0,70.0
74,"Glenn County, California",40.0,44.0,42.0
75,"Humboldt County, California",27.0,36.0,29.0
76,"Imperial County, California",58.0,63.0,53.0
77,"Inyo County, California",47.0,48.0,44.0
78,"Kern County, California",67.0,84.0,79.0
79,"Kings County, California",56.0,71.0,70.0
80,"Lake County, California",31.0,36.0,35.0
81,"Los Angeles County, California",71.0,79.0,76.0
82,"Madera County, California",50.0,63.0,46.0
83,"Marin County, California",33.0,36.0,38.0
84,"Mariposa County, California",47.0,46.0,49.0
85,"Mendocino County, California",33.0,38.0,34.0
86,"Merced County, California",48.0,58.0,55.0
87,"Modoc County, California",,,
88,"Mono County, California",27.0,14.0,18.0
89,"Monterey County, California",37.0,37.0,36.0
90,"Napa County, California",35.0,44.0,39.0
91,"Nevada County, California",44.0,47.0,44.0
92,"Orange County, California",48.0,56.0,56.0
93,"Placer County, California",45.0,45.0,50.0
94,"Plumas County, California",25.0,50.0,33.0
95,"Riverside County, California",77.0,87.0,87.0
96,"Sacramento County, California",46.0,54.0,49.0
97,"San Benito County, California",38.0,39.0,40.0
98,"San Bernardino County, California",80.0,83.0,81.0
99,"San Diego County, California",64.0,61.0,61.0
100,"San Francisco County, California",36.0,35.0,40.0
101,"San Joaquin County, California",44.0,56.0,45.0
102,"San Luis Obispo County, California",46.0,53.0,51.0
103,"San Mateo County, California",35.0,32.0,35.0
104,"Santa Barbara County, California",43.0,45.0,44.0
105,"Santa Clara County, California",41.0,43.0,42.0
106,"Santa Cruz County, California",35.0,35.0,34.0
107,"Shasta County, California",42.0,44.0,43.0
108,"Siskiyou County, California",36.0,36.0,33.0
109,"Solano County, California",40.0,44.0,39.0
110,"Sonoma County, California",33.0,35.0,32.0
111,"Stanislaus County, California",49.0,59.0,53.0
112,"Sutter County, California",44.0,49.0,44.0
113,"Tehama County, California",41.0,45.0,50.0
114,"Trinity County, California",18.0,9.0,10.0
115,"Tulare County, California",66.0,78.0,69.0
116,"Tuolumne County, California",43.0,43.0,41.0
117,"Ventura County, California",46.0,50.0,47.0
118,"Yolo County, California",41.0,44.0,38.0
119,"New Brunswick County, Canada",,,
120,"Saskatchewan County, Canada",,,
121,"Adams County, Colorado",47.0,45.0,43.0
122,"Alamosa County, Colorado",9.0,17.0,20.0
123,"Arapahoe County, Colorado",46.0,45.0,47.0
124,"Archuleta County, Colorado",31.0,17.0,17.0
125,"Boulder County, Colorado",47.0,44.0,45.0
126,"Delta County, Colorado",41.0,16.0,19.0
127,"Denver County, Colorado",51.0,52.0,49.0
128,"Douglas County, Colorado",46.0,44.0,45.0
129,"El Paso County, Colorado",45.0,44.0,45.0
130,"Elbert County, Colorado",,,17.0
131,"Fremont County, Colorado",13.0,11.0,14.0
132,"Garfield County, Colorado",44.0,45.0,51.0
133,"Gunnison County, Colorado",45.0,44.0,42.0
134,"Jackson County, Colorado",6.0,38.0,7.0
135,"Jefferson County, Colorado",46.0,45.0,46.0
136,"La Plata County, Colorado",44.0,43.0,48.0
137,"Larimer County, Colorado",48.0,49.0,51.0
138,"Mesa County, Colorado",44.0,45.0,47.0
139,"Montezuma County, Colorado",46.0,44.0,46.0
140,"Pitkin County, Colorado",10.0,11.0,49.0
141,"Prowers County, Colorado",14.0,14.0,24.0
142,"Pueblo County, Colorado",20.0,19.0,24.0
143,"Routt County, Colorado",13.0,13.0,16.0
144,"San Juan County, Colorado",7.0,6.0,8.0
145,"San Miguel County, Colorado",11.0,44.0,19.0
146,"Summit County, Colorado",,,12.0
147,"Teller County, Colorado",,,51.0
148,"Weld County, Colorado",45.0,47.0,46.0
149,"Fairfield County, Connecticut",43.0,46.0,43.0
150,"Hartford County, Connecticut",39.0,45.0,35.0
151,"Litchfield County, Connecticut",37.0,39.0,38.0
152,"Middlesex County, Connecticut",41.0,43.0,44.0
153,"New Haven County, Connecticut",41.0,45.0,42.0
154,"New London County, Connecticut",37.0,36.0,37.0
155,"Tolland County, Connecticut",42.0,39.0,43.0
156,"Windham County, Connecticut",36.0,35.0,36.0
157,"BAJA CALIFORNIA NORTE County, Country Of Mexico",72.0,73.0,58.0
158,"CHIHUAHUA STATE County, Country Of Mexico",,,43.0
159,"SONORA County, Country Of Mexico",43.0,,63.0
160,"Kent County, Delaware",42.0,41.0,43.0
161,"New Castle County, Delaware",43.0,48.0,50.0
162,"Sussex County, Delaware",42.0,42.0,47.0
163,"District of Columbia County, District Of Columbia",44.0,47.0,51.0
164,"Alachua County, Florida",35.0,34.0,41.0
165,"Baker County, Florida",33.0,32.0,36.0
166,"Bay County, Florida",38.0,37.0,43.0
167,"Brevard County, Florida",36.0,37.0,43.0
168,"Broward County, Florida",40.0,34.0,41.0
169,"Citrus County, Florida",30.0,24.0,32.0
170,"Collier County, Florida",34.0,33.0,39.0
171,"Columbia County, Florida",38.0,35.0,44.0
172,"Duval County, Florida",43.0,38.0,45.0
173,"Escambia County, Florida",40.0,40.0,46.0
174,"Hamilton County, Florida",33.0,32.0,39.0
175,"Highlands County, Florida",36.0,31.0,36.0
176,"Hillsborough County, Florida",42.0,44.0,49.0
177,"Holmes County, Florida",40.0,37.0,44.0
178,"Indian River County, Florida",36.0,34.0,39.0
179,"Lake County, Florida",35.0,34.0,41.0
180,"Lee County, Florida",36.0,36.0,41.0
181,"Leon County, Florida",38.0,40.0,47.0
182,"Liberty County, Florida",33.0,31.0,36.0
183,"Manatee County, Florida",36.0,34.0,37.0
184,"Marion County, Florida",38.0,35.0,42.0
185,"Miami-Dade County, Florida",38.0,40.0,44.0
186,"Nassau County, Florida",30.0,33.0,
187,"Orange County, Florida",36.0,38.0,44.0
188,"Osceola County, Florida",34.0,32.0,36.0
189,"Palm Beach County, Florida",35.0,37.0,42.0
190,"Pasco County, Florida",36.0,37.0,39.0
191,"Pinellas County, Florida",40.0,38.0,45.0
192,"Polk County, Florida",36.0,37.0,44.0
193,"Putnam County, Florida",17.0,13.0,15.0
194,"Santa Rosa County, Florida",39.0,38.0,45.0
195,"Sarasota County, Florida",37.0,40.0,49.0
196,"Seminole County, Florida",37.0,34.0,38.0
197,"St. Lucie County, Florida",34.0,32.0,39.0
198,"Volusia County, Florida",37.0,36.0,41.0
199,"Wakulla County, Florida",35.0,36.0,36.0
200,"Bibb County, Georgia",39.0,41.0,53.0
201,"Charlton County, Georgia",20.0,24.0,30.0
202,"Chatham County, Georgia",38.0,36.0,43.0
203,"Chattooga County, Georgia",40.0,36.0,41.0
204,"Clarke County, Georgia",44.0,38.0,46.0
205,"Clayton County, Georgia",36.0,39.0,53.0
206,"Cobb County, Georgia",42.0,42.0,50.0
207,"Coffee County, Georgia",26.0,28.0,36.0
208,"Coweta County, Georgia",,35.0,45.0
209,"Dawson County, Georgia",37.0,38.0,43.0
210,"DeKalb County, Georgia",44.0,50.0,55.0
211,"Dougherty County, Georgia",40.0,42.0,48.0
212,"Douglas County, Georgia",40.0,37.0,45.0
213,"Fayette County, Georgia",,,
214,"Floyd County, Georgia",45.0,40.0,56.0
215,"Fulton County, Georgia",49.0,49.0,54.0
216,"Glynn County, Georgia",36.0,34.0,41.0
217,"Gwinnett County, Georgia",45.0,40.0,47.0
218,"Hall County, Georgia",37.0,48.0,55.0
219,"Henry County, Georgia",37.0,36.0,46.0
220,"Houston County, Georgia",38.0,35.0,52.0
221,"Lowndes County, Georgia",35.0,38.0,53.0
222,"Murray County, Georgia",42.0,37.0,44.0
223,"Muscogee County, Georgia",40.0,38.0,47.0
224,"Paulding County, Georgia",,43.0,45.0
225,"Pike County, Georgia",37.0,35.0,41.0
226,"Richmond County, Georgia",45.0,39.0,48.0
227,"Rockdale County, Georgia",43.0,31.0,36.0
228,"Spalding County, Georgia",,,
229,"Sumter County, Georgia",39.0,34.0,42.0
230,"Walker County, Georgia",37.0,39.0,52.0
231,"Washington County, Georgia",29.0,32.0,40.0
232,"Wilkinson County, Georgia",,38.0,51.0
233,"Hawaii County, Hawaii",16.0,58.0,65.0
234,"Honolulu County, Hawaii",27.0,34.0,38.0
235,"Kauai County, Hawaii",13.0,14.0,
236,"Maui County, Hawaii",15.0,25.0,18.0
237,"Ada County, Idaho",38.0,40.0,49.0
238,"Bannock County, Idaho",20.0,27.0,20.0
239,"Benewah County, Idaho",37.0,46.0,32.0
240,"Bingham County, Idaho",,,
241,"Boise County, Idaho",33.0,29.0,
242,"Bonner County, Idaho",21.0,21.0,9.0
243,"Bonneville County, Idaho",29.0,18.0,
244,"Boundary County, Idaho",,,
245,"Butte County, Idaho",40.0,40.0,43.0
246,"Canyon County, Idaho",25.0,27.0,25.0
247,"Caribou County, Idaho",,,
248,"Custer County, Idaho",6.0,6.0,8.0
249,"Elmore County, Idaho",,,
250,"Idaho County, Idaho",40.0,20.0,10.0
251,"Kootenai County, Idaho",23.0,30.0,37.0
252,"Latah County, Idaho",10.0,11.0,10.0
253,"Lemhi County, Idaho",23.0,38.0,33.0
254,"Nez Perce County, Idaho",24.0,19.0,17.0
255,"Power County, Idaho",,,20.0
256,"Shoshone County, Idaho",29.0,43.0,44.0
257,"Twin Falls County, Idaho",19.0,24.0,24.0
258,"Valley County, Idaho",22.0,13.0,
259,"Adams County, Illinois",41.0,40.0,37.0
260,"Champaign County, Illinois",42.0,42.0,34.0
261,"Clark County, Illinois",34.0,39.0,40.0
262,"Cook County, Illinois",53.0,53.0,58.0
263,"DuPage County, Illinois",42.0,39.0,46.0
264,"Effingham County, Illinois",40.0,40.0,44.0
265,"Hamilton County, Illinois",43.0,38.0,46.0
266,"Jackson County, Illinois",,,20.0
267,"Jersey County, Illinois",42.0,40.0,38.0
268,"Jo Daviess County, Illinois",34.0,34.0,37.0
269,"Kane County, Illinois",40.0,35.0,36.0
270,"La Salle County, Illinois",,,35.0
271,"Lake County, Illinois",40.0,35.0,37.0
272,"Macon County, Illinois",43.0,40.0,46.0
273,"Macoupin County, Illinois",33.0,38.0,37.0
274,"Madison County, Illinois",49.0,44.0,60.0
275,"McHenry County, Illinois",44.0,43.0,41.0
276,"McLean County, Illinois",44.0,37.0,40.0
277,"Peoria County, Illinois",41.0,42.0,51.0
278,"Randolph County, Illinois",40.0,39.0,36.0
279,"Rock Island County, Illinois",42.0,36.0,32.0
280,"Saint Clair County, Illinois",43.0,41.0,44.0
281,"Sangamon County, Illinois",40.0,34.0,37.0
282,"Will County, Illinois",43.0,45.0,38.0
283,"Winnebago County, Illinois",42.0,35.0,36.0
284,"Allen County, Indiana",43.0,43.0,56.0
285,"Boone County, Indiana",35.0,42.0,45.0
286,"Carroll County, Indiana",35.0,43.0,45.0
287,"Clark County, Indiana",41.0,44.0,58.0
288,"Daviess County, Indiana",,,
289,"Delaware County, Indiana",35.0,36.0,45.0
290,"Dubois County, Indiana",33.0,35.0,53.0
291,"Elkhart County, Indiana",37.0,42.0,44.0
292,"Floyd County, Indiana",35.0,44.0,51.0
293,"Gibson County, Indiana",,,49.0
294,"Greene County, Indiana",39.0,41.0,47.0
295,"Hamilton County, Indiana",41.0,37.0,44.0
296,"Hancock County, Indiana",,34.0,45.0
297,"Hendricks County, Indiana",34.0,35.0,41.0
298,"Henry County, Indiana",28.0,28.0,46.0
299,"Howard County, Indiana",40.0,52.0,43.0
300,"Huntington County, Indiana",31.0,31.0,41.0
301,"Jackson County, Indiana",35.0,41.0,45.0
302,"Johnson County, Indiana",,39.0,44.0
303,"Knox County, Indiana",36.0,34.0,42.0
304,"Kosciusko County, Indiana",,,
305,"LaPorte County, Indiana",37.0,40.0,44.0
306,"Lake County, Indiana",44.0,47.0,63.0
307,"Madison County, Indiana",41.0,38.0,47.0
308,"Marion County, Indiana",53.0,51.0,60.0
309,"Morgan County, Indiana",35.0,39.0,40.0
310,"Perry County, Indiana",37.0,43.0,48.0
311,"Porter County, Indiana",40.0,41.0,52.0
312,"Posey County, Indiana",35.0,40.0,43.0
313,"Putnam County, Indiana",,,
314,"Shelby County, Indiana",36.0,39.0,44.0
315,"Spencer County, Indiana",31.0,34.0,52.0
316,"St. Joseph County, Indiana",41.0,45.0,52.0
317,"Tippecanoe County, Indiana",33.0,38.0,52.0
318,"Vanderburgh County, Indiana",41.0,46.0,56.0
319,"Vigo County, Indiana",45.0,44.0,52.0
320,"Wabash County, Indiana",37.0,35.0,38.0
321,"Warrick County, Indiana",36.0,42.0,48.0
322,"Washington County, Indiana",,,43.0
323,"Whitley County, Indiana",33.0,39.0,38.0
324,"Black Hawk County, Iowa",31.0,49.0,41.0
325,"Bremer County, Iowa",37.0,36.0,38.0
326,"Cerro Gordo County, Iowa",15.0,16.0,18.0
327,"Clinton County, Iowa",42.0,49.0,53.0
328,"Delaware County, Iowa",,30.0,15.0
329,"Emmet County, Iowa",,,
330,"Harrison County, Iowa",38.0,40.0,40.0
331,"Johnson County, Iowa",35.0,36.0,51.0
332,"Lee County, Iowa",29.0,33.0,43.0
333,"Linn County, Iowa",39.0,41.0,47.0
334,"Montgomery County, Iowa",37.0,38.0,43.0
335,"Muscatine County, Iowa",32.0,38.0,52.0
