,State,County,2022_Median_AQI,2021_Median_AQI,2020_Median_AQI,2019_Median_AQI,2018_Median_AQI,2017_Median_AQI,2016_Median_AQI,2015_Median_AQI,2014_Median_AQI,2013_Median_AQI,2012_Median_AQI,2011_Median_AQI,2010_Median_AQI,2009_Median_AQI,2008_Median_AQI,2007_Median_AQI,2006_Median_AQI,2005_Median_AQI,2004_Median_AQI,2003_Median_AQI,2002_Median_AQI,2001_Median_AQI,2000_Median_AQI,1999_Median_AQI,1998_Median_AQI,1997_Median_AQI,1996_Median_AQI,1995_Median_AQI,1994_Median_AQI,1993_Median_AQI,1992_Median_AQI,1991_Median_AQI,1990_Median_AQI,1989_Median_AQI,1988_Median_AQI,1987_Median_AQI,1986_Median_AQI,1985_Median_AQI,1984_Median_AQI,1983_Median_AQI,1982_Median_AQI,1981_Median_AQI,1980_Median_AQI
0,Alabama,Baldwin,40.0,35.0,36.0,37.0,35.0,36.0,37.0,38.0,38.0,36.0,38.0,42.0,43.0,36.0,37.0,43.0,46.0,46.0,43.0,41,38.0,43.0,54.0,,,,,,,,,,,,,,,,,,,,
1,Alabama,Barbour,,,,,,,,,,,,,,,,,35.0,47.0,45.0,38,,,,,,,,,,,,,,,,,,,,,,,
2,Alabama,Clay,27.0,27.0,26.0,30.0,27.0,30.0,30.0,32.0,36.0,32.0,35.0,39.0,42.0,33.0,43.0,50.0,48.0,46.0,44.0,44,45.0,46.0,46.0,58.0,54.0,48.0,45.0,42.0,38.0,44.0,25.0,22.0,,,,,,,,,,,
3,Alabama,Colbert,,,,37.0,35.0,37.0,38.0,36.0,37.0,38.0,40.0,42.0,47.0,43.0,43.0,48.0,45.0,46.0,43.0,42,41.0,47.0,58.0,60.0,20.0,16.0,14.0,35.0,42.0,21.0,19.0,20.0,19.0,,,,,,,,,,
4,Alabama,DeKalb,37.0,36.0,36.0,39.0,35.0,39.0,40.0,37.0,38.0,38.0,40.0,40.0,43.0,36.0,43.0,47.0,47.0,43.0,43.0,44,44.0,46.0,51.0,59.0,46.0,37.0,41.0,48.0,38.0,44.0,38.0,41.0,47.0,,,,,,,,,,
5,Alabama,Elmore,37.0,32.0,31.0,39.0,33.0,35.0,40.0,35.0,36.0,36.0,40.0,44.0,43.0,36.0,42.0,45.0,46.0,42.0,42.0,42,42.0,43.0,50.0,45.0,47.0,45.0,44.0,33.0,35.0,44.0,41.0,40.0,45.0,,,,,,,,,,
6,Alabama,Escambia,,,,,,,,,,,,,,,,49.0,52.0,51.0,45.0,47,48.0,46.0,57.0,20.0,25.0,22.0,21.0,24.0,23.0,23.0,24.0,22.0,26.0,,,,,,,,,,
7,Alabama,Etowah,42.0,36.0,34.0,43.0,41.0,45.0,52.0,46.0,38.0,37.0,40.0,41.0,54.0,44.0,49.0,54.0,48.0,47.0,46.0,47,49.0,53.0,59.0,27.0,29.0,24.0,22.0,30.0,29.0,31.0,26.0,31.0,29.0,28.0,33.0,39.0,46.0,45.0,47.0,45.0,48.0,44.0,
8,Alabama,Houston,,,,35.0,35.0,35.0,35.0,33.0,38.0,36.0,38.0,44.0,48.0,38.0,40.0,45.0,46.0,44.0,51.0,48,49.0,52.0,54.0,64.0,26.0,22.0,17.0,24.0,22.0,21.0,20.0,23.0,24.0,24.0,,,,,,,,,
9,Alabama,Jefferson,51.0,51.0,48.0,53.0,50.0,51.0,49.0,48.0,53.0,50.0,52.0,58.0,59.0,55.0,67.0,75.0,79.0,75.0,67.0,69,68.0,77.0,79.0,81.0,46.0,44.0,43.0,46.0,43.0,45.0,43.0,43.0,50.0,46.0,51.0,52.0,50.0,48.0,45.0,50.0,50.0,64.0,50.0
