"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2003,278,189,77,11,1,0,0,174,77,41,0,0,189,89,0
"Alabama","Barbour",2003,15,9,6,0,0,0,0,84,67,38,0,0,0,15,0
"Alabama","Clay",2003,274,173,91,9,1,0,0,159,77,44,0,0,186,88,0
"Alabama","Colbert",2003,317,225,85,6,1,0,0,151,71,42,0,7,223,87,0
"Alabama","DeKalb",2003,361,239,109,11,2,0,0,164,80,44,0,0,280,81,0
"Alabama","Elmore",2003,240,181,54,5,0,0,0,143,74,42,0,0,240,0,0
"Alabama","Escambia",2003,121,65,56,0,0,0,0,91,68,47,0,0,0,120,1
"Alabama","Etowah",2003,284,166,108,10,0,0,0,143,80,47,0,0,194,89,1
"Alabama","Houston",2003,94,49,44,1,0,0,0,144,69,48,0,0,0,88,6
"Alabama","Jefferson",2003,365,34,286,43,2,0,0,177,105,69,0,0,45,242,78
"Alabama","Lawrence",2003,273,185,80,7,1,0,0,169,77,44,0,0,206,67,0
"Alabama","Limestone",2003,275,178,77,19,1,0,0,159,90,44,0,6,269,0,0
"Alabama","Madison",2003,365,235,116,14,0,0,0,143,84,44,0,0,276,79,10
"Alabama","Marengo",2003,36,36,0,0,0,0,0,36,30,19,0,0,0,0,36
"Alabama","Mobile",2003,362,241,103,16,2,0,0,182,80,40,39,0,184,91,48
"Alabama","Montgomery",2003,284,190,90,4,0,0,0,119,71,45,0,0,175,109,0
"Alabama","Morgan",2003,284,157,106,20,1,0,0,161,93,48,0,0,201,83,0
"Alabama","Pike",2003,48,47,1,0,0,0,0,76,33,19,0,0,0,0,48
"Alabama","Russell",2003,280,188,90,2,0,0,0,115,70,43,0,0,181,98,1
"Alabama","Shelby",2003,282,166,93,22,1,0,0,156,97,47,0,0,206,76,0
"Alabama","Sumter",2003,281,211,70,0,0,0,0,99,62,39,0,0,175,106,0
"Alabama","Talladega",2003,114,42,71,1,0,0,0,116,74,55,0,0,0,106,8
"Alabama","Tuscaloosa",2003,279,204,73,2,0,0,0,119,64,41,0,0,196,83,0
"Alabama","Walker",2003,104,45,57,2,0,0,0,106,71,52,0,0,0,104,0
"Alaska","Aleutians East ",2003,120,119,1,0,0,0,0,60,23,10,0,0,0,120,0
"Alaska","Anchorage ",2003,310,276,30,3,0,0,1,486,53,24,131,0,0,65,114
"Alaska","Denali ",2003,364,363,1,0,0,0,0,71,44,33,0,0,362,2,0
"Alaska","Fairbanks North Star ",2003,229,196,33,0,0,0,0,100,57,23,139,0,0,90,0
"Alaska","Juneau ",2003,82,73,9,0,0,0,0,86,52,20,0,0,0,80,2
"Alaska","Kenai Peninsula ",2003,113,113,0,0,0,0,0,30,16,5,0,0,0,113,0
"Alaska","Matanuska-Susitna ",2003,121,109,11,0,1,0,0,156,49,10,0,0,0,106,15
"Arizona","Apache",2003,352,351,1,0,0,0,0,60,35,19,0,0,0,32,320
"Arizona","Cochise",2003,351,192,152,7,0,0,0,126,80,49,0,0,332,9,10
"Arizona","Coconino",2003,359,209,141,9,0,0,0,126,84,48,0,0,348,11,0
"Arizona","Gila",2003,256,75,134,44,3,0,0,169,112,67,0,1,192,54,9
"Arizona","Graham",2003,60,57,3,0,0,0,0,61,38,19,0,0,0,0,60
"Arizona","Maricopa",2003,365,43,247,65,10,0,0,195,122,74,6,125,192,27,15
"Arizona","Mohave",2003,103,98,5,0,0,0,0,84,39,20,0,0,0,73,30
"Arizona","Navajo",2003,354,201,145,8,0,0,0,122,84,48,0,0,345,5,4
"Arizona","Pima",2003,365,164,170,30,1,0,0,154,97,52,0,48,241,33,43
"Arizona","Pinal",2003,365,168,145,47,5,0,0,172,108,58,0,0,335,13,17
"Arizona","Santa Cruz",2003,61,34,25,2,0,0,0,115,79,43,0,0,0,44,17
"Arizona","Yavapai",2003,263,154,109,0,0,0,0,100,74,49,0,0,211,45,7
"Arizona","Yuma",2003,225,150,63,11,1,0,0,164,84,44,0,0,193,0,32
"Arkansas","Arkansas",2003,114,59,55,0,0,0,0,98,65,50,0,0,0,114,0
"Arkansas","Ashley",2003,117,61,56,0,0,0,0,90,67,49,0,0,0,117,0
"Arkansas","Clark",2003,282,242,37,3,0,0,0,126,58,35,0,0,282,0,0
"Arkansas","Craighead",2003,116,61,54,1,0,0,0,102,64,49,0,0,0,116,0
"Arkansas","Crittenden",2003,363,250,91,19,2,1,0,203,84,42,0,0,314,49,0
"Arkansas","Faulkner",2003,103,48,54,1,0,0,0,108,68,52,0,0,0,103,0
"Arkansas","Garland",2003,114,65,49,0,0,0,0,83,64,46,0,0,0,114,0
"Arkansas","Jefferson",2003,117,62,55,0,0,0,0,100,67,48,0,0,0,117,0
"Arkansas","Marion",2003,60,48,12,0,0,0,0,63,59,35,0,0,0,60,0
"Arkansas","Miller",2003,63,40,23,0,0,0,0,77,61,46,0,0,0,63,0
"Arkansas","Mississippi",2003,111,65,46,0,0,0,0,88,66,45,0,0,0,111,0
"Arkansas","Montgomery",2003,361,337,23,1,0,0,0,108,47,32,0,0,361,0,0
"Arkansas","Newton",2003,362,262,91,6,3,0,0,169,71,44,0,0,331,31,0
"Arkansas","Phillips",2003,116,59,56,1,0,0,0,107,67,50,0,0,0,116,0
"Arkansas","Polk",2003,121,75,46,0,0,0,0,82,65,43,0,0,0,121,0
"Arkansas","Pope",2003,117,65,52,0,0,0,0,89,66,48,0,0,0,117,0
"Arkansas","Pulaski",2003,365,138,213,13,1,0,0,151,83,56,0,11,113,241,0
"Arkansas","Sebastian",2003,109,64,45,0,0,0,0,88,64,44,0,0,0,109,0
"Arkansas","Union",2003,102,58,44,0,0,0,0,80,69,45,0,0,0,102,0
"Arkansas","Washington",2003,113,80,33,0,0,0,0,85,59,40,0,0,0,113,0
"Arkansas","White",2003,114,63,51,0,0,0,0,80,66,47,0,0,0,114,0
"California","Alameda",2003,365,300,53,9,3,0,0,172,64,39,5,105,212,43,0
"California","Amador",2003,365,257,79,29,0,0,0,150,97,41,11,0,354,0,0
"California","Butte",2003,365,144,170,43,8,0,0,164,108,58,0,0,225,140,0
"California","Calaveras",2003,365,214,85,50,16,0,0,179,122,44,6,0,340,19,0
"California","Colusa",2003,365,291,73,1,0,0,0,101,63,38,0,0,279,43,43
"California","Contra Costa",2003,365,245,103,17,0,0,0,150,82,44,0,32,246,85,2
"California","Del Norte",2003,148,148,0,0,0,0,0,43,22,12,0,0,0,95,53
"California","El Dorado",2003,365,168,113,57,23,4,0,218,136,54,0,9,348,7,1
"California","Fresno",2003,365,40,131,95,87,12,0,212,177,107,0,11,231,122,1
"California","Glenn",2003,365,278,80,7,0,0,0,129,67,40,0,0,318,0,47
"California","Humboldt",2003,64,56,7,1,0,0,0,102,54,26,0,0,0,50,14
"California","Imperial",2003,365,124,177,54,9,0,1,736,113,61,16,54,233,38,24
"California","Inyo",2003,365,179,120,42,5,1,18,16515,132,51,0,0,294,3,68
"California","Kern",2003,365,23,118,100,93,31,0,223,197,118,0,0,206,157,2
"California","Kings",2003,364,166,121,66,11,0,0,187,126,56,0,65,244,46,9
"California","Lake",2003,363,331,32,0,0,0,0,84,48,37,0,0,359,4,0
"California","Los Angeles",2003,365,41,154,83,57,30,0,249,197,95,2,57,183,123,0
"California","Madera",2003,364,204,96,51,13,0,0,192,126,46,0,64,300,0,0
"California","Marin",2003,365,358,7,0,0,0,0,90,38,28,0,235,96,33,1
"California","Mariposa",2003,365,163,97,82,23,0,0,195,140,55,0,0,345,20,0
"California","Mendocino",2003,365,339,26,0,0,0,0,87,47,33,7,39,295,21,3
"California","Merced",2003,364,128,118,65,49,4,0,205,159,71,0,34,284,44,2
"California","Modoc",2003,2,2,0,0,0,0,0,42,42,42,0,0,0,2,0
"California","Mono",2003,314,177,117,11,2,1,6,5641,90,48,0,0,260,20,34
"California","Monterey",2003,365,333,29,3,0,0,0,136,48,36,0,12,332,13,8
"California","Napa",2003,365,350,12,3,0,0,0,143,43,31,2,101,258,0,4
"California","Nevada",2003,365,172,100,71,22,0,0,195,133,58,0,0,339,17,9
"California","Orange",2003,365,93,211,48,13,0,0,200,116,63,0,50,164,149,2
"California","Placer",2003,365,190,119,41,13,2,0,206,126,50,0,63,286,16,0
"California","Plumas",2003,355,277,71,7,0,0,0,144,70,41,0,0,235,71,49
"California","Riverside",2003,365,47,152,68,70,28,0,243,195,97,0,15,198,143,9
"California","Sacramento",2003,365,99,179,57,25,5,0,214,144,67,1,10,235,117,2
"California","San Benito",2003,365,257,88,19,1,0,0,156,90,43,0,0,365,0,0
"California","San Bernardino",2003,365,69,132,63,50,51,0,251,209,91,0,76,232,52,5
"California","San Diego",2003,365,82,204,71,7,1,0,289,126,68,2,41,185,134,3
"California","San Francisco",2003,365,294,66,5,0,0,0,116,62,37,1,105,145,113,1
"California","San Joaquin",2003,365,240,98,25,2,0,0,159,97,44,2,90,201,55,17
"California","San Luis Obispo",2003,365,265,88,11,1,0,0,159,80,44,0,16,326,17,6
"California","San Mateo",2003,365,335,27,3,0,0,0,126,47,33,0,111,208,46,0
"California","Santa Barbara",2003,365,203,122,35,5,0,0,192,101,48,0,7,345,12,1
"California","Santa Clara",2003,365,215,127,17,6,0,0,190,90,47,0,38,188,139,0
"California","Santa Cruz",2003,365,336,27,2,0,0,0,112,48,35,0,1,346,14,4
"California","Shasta",2003,364,262,77,18,7,0,0,177,90,43,0,0,342,20,2
"California","Siskiyou",2003,291,235,53,3,0,0,0,112,61,39,0,0,249,21,21
"California","Solano",2003,365,300,55,10,0,0,0,136,61,38,2,61,262,40,0
"California","Sonoma",2003,365,330,33,2,0,0,0,133,49,37,0,62,263,40,0
"California","Stanislaus",2003,365,194,102,53,16,0,0,187,126,49,4,84,226,48,3
"California","Sutter",2003,365,248,80,32,5,0,0,185,101,42,0,99,244,18,4
"California","Tehama",2003,278,155,85,35,3,0,0,156,105,46,0,0,261,0,17
"California","Trinity",2003,125,124,1,0,0,0,0,51,30,13,0,0,0,88,37
"California","Tulare",2003,365,56,126,93,78,12,0,210,177,101,0,0,224,140,1
"California","Tuolumne",2003,365,208,100,52,5,0,0,156,115,44,5,0,360,0,0
"California","Ventura",2003,365,164,105,68,27,1,0,209,143,54,0,47,277,36,5
"California","Yolo",2003,365,250,92,23,0,0,0,147,85,44,0,34,260,69,2
"Canada","New Brunswick",2003,175,163,12,0,0,0,0,87,49,32,0,0,175,0,0
"Canada","Saskatchewan",2003,340,331,9,0,0,0,0,98,35,15,0,287,0,53,0
"Colorado","Adams",2003,364,225,135,4,0,0,0,144,70,47,1,126,119,37,81
"Colorado","Alamosa",2003,364,343,21,0,0,0,0,98,41,23,0,0,0,22,342
"Colorado","Arapahoe",2003,354,248,76,26,2,2,0,215,90,44,0,0,319,35,0
"Colorado","Archuleta",2003,353,343,10,0,0,0,0,85,35,22,0,0,0,30,323
"Colorado","Boulder",2003,365,255,87,22,1,0,0,151,90,42,24,0,302,38,1
"Colorado","Delta",2003,63,54,8,1,0,0,0,131,55,26,0,0,0,39,24
"Colorado","Denver",2003,365,157,187,18,2,1,0,203,93,54,2,165,113,70,15
"Colorado","Douglas",2003,198,105,62,24,5,2,0,213,122,50,0,0,198,0,0
"Colorado","El Paso",2003,365,259,93,13,0,0,0,147,77,44,21,0,300,39,5
"Colorado","Elbert",2003,118,118,0,0,0,0,0,47,30,17,0,0,0,118,0
"Colorado","Fremont",2003,58,58,0,0,0,0,0,28,23,13,0,0,0,0,58
"Colorado","Garfield",2003,89,89,0,0,0,0,0,32,27,17,0,0,0,0,89
"Colorado","Gunnison",2003,364,213,145,6,0,0,0,115,74,48,0,0,332,8,24
"Colorado","Jackson",2003,113,113,0,0,0,0,0,33,18,8,0,0,0,113,0
"Colorado","Jefferson",2003,365,250,69,33,13,0,0,192,105,44,6,0,359,0,0
"Colorado","La Plata",2003,364,317,47,0,0,0,0,87,52,39,0,33,301,5,25
"Colorado","Larimer",2003,365,188,143,30,4,0,0,166,100,50,0,0,354,11,0
"Colorado","Mesa",2003,359,326,32,1,0,0,0,140,49,25,111,0,0,98,150
"Colorado","Montezuma",2003,357,246,110,1,0,0,0,126,74,46,0,0,349,8,0
"Colorado","Pitkin",2003,364,360,4,0,0,0,0,75,28,17,0,0,0,10,354
"Colorado","Prowers",2003,363,338,25,0,0,0,0,89,46,24,0,0,0,0,363
"Colorado","Pueblo",2003,128,119,9,0,0,0,0,93,48,30,0,0,0,92,36
"Colorado","Routt",2003,351,325,26,0,0,0,0,98,44,19,0,0,0,40,311
"Colorado","San Juan",2003,117,117,0,0,0,0,0,38,21,9,0,0,0,117,0
"Colorado","San Miguel",2003,119,115,4,0,0,0,0,72,35,20,0,0,0,38,81
"Colorado","Summit",2003,332,321,11,0,0,0,0,64,28,13,0,0,0,0,332
"Colorado","Teller",2003,336,334,2,0,0,0,0,56,31,19,0,0,0,0,336
"Colorado","Weld",2003,360,223,110,26,1,0,0,169,93,45,9,0,304,45,2
"Connecticut","Fairfield",2003,365,247,86,22,7,3,0,221,94,44,4,143,150,67,1
"Connecticut","Hartford",2003,365,216,137,12,0,0,0,147,74,46,29,38,112,185,1
"Connecticut","Litchfield",2003,243,166,60,14,3,0,0,182,90,44,0,0,175,68,0
